path	owner	role	disposition
packages/standalone-build/tests/hook-contract-inventory.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/in-place-unzip-race.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/inliner-collision-and-manifest.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/module-loader-coexistence-gate.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/multi-plugin-coexistence.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/performance-and-evidence-regressions.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/performance-and-tamper-verification.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/pipeline-failure-and-rollback.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/plan3-transformer.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/prepare-artifact-phpunit-harness.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/production-namespace-tests-retention.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/profile-s-fail-closed.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/protection-inventory.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/refresh-pre-registry-candidate-digests.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/resolve-content-root.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/run-plan3-eligibility-spike.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/run-protection-gates.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/safe-ast-obfuscator.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/serialized-callback-inventory.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/settings-field-inventory.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/target-cache-integrity.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/target-registry.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/task3-private-members-and-constants.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/task4-scope-capture-and-template.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/task5-protect-literals-and-comments.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/task6-namespaces-and-public-boundaries.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/tavangary-core-artifact.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/tavangary-theme-panel-artifact.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/test-impact-map.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/test-scheduler-and-tiers.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/transformer-correctness-matrix.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/transformer-engine.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/transformer-fixture-harness.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/v3-differential-probes.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/v3-gap-fixes.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/v3-transform-modes.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/v4-review-fixes.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-closure-review-manifest.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-composer-release-policy.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-composer-staging-report.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-hook-contract-dynamic-domain.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-hook-contract-review.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-prefix-migration-contract.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-profile-a-pre-registry-candidate.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-profile-a-readiness.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-protection-artifact-registry.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-protection-registry-proposals.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-serialized-callback-review.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-settings-ownership-review.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-signed-release-manifest.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-template-dependency-review.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-template-resolver-contract.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/validate-test-portability-manifest.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/verify-composer-staging.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/verify-profile-s-artifact.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/wpdev-crm-artifact.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/wpdev-tickets-artifact.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/zip-tamper-resistance-extended.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/validate-closure-review-manifest.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-composer-release-policy.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-composer-staging-report.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-hook-contract-dynamic-domain.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-hook-contract-review.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-prefix-migration-contract.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-profile-a-pre-registry-candidate.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-profile-a-readiness.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-protection-artifact-registry.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-protection-registry-proposals.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-serialized-callback-review.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-settings-ownership-review.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-signed-release-manifest.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-template-dependency-review.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-template-resolver-contract.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/validate-test-portability-manifest.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/verify-composer-staging.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/verify-profile-s-artifact.mjs	kit-proprietary	standalone-pipeline	migrate
